Date,Price,High,Low,Close,Adj Close,Volume
5/18/2018,187.190002,187.809998,186.130005,186.309998,185.013336,18297700
5/21/2018,188,189.270004,186.910004,187.630005,186.324142,18400800
5/22/2018,188.380005,188.880005,186.779999,187.160004,185.857422,15240700
5/23/2018,186.350006,188.5,185.759995,188.360001,187.049057,20058400
5/24/2018,188.770004,188.839996,186.210007,188.149994,186.840515,23234000
5/25/2018,188.229996,189.649994,187.649994,188.580002,187.267532,17461000
5/29/2018,187.600006,188.75,186.869995,187.899994,186.59227,22514100
5/30/2018,187.720001,188,186.779999,187.5,186.195038,18690500
5/31/2018,187.220001,188.229996,186.139999,186.869995,185.569427,27482800
6/1/2018,187.990005,190.259995,187.75,190.240005,188.915985,23442500
6/4/2018,191.639999,193.419998,191.350006,191.830002,190.494904,26266200
6/5/2018,193.070007,193.940002,192.360001,193.309998,191.9646,21566000
6/6/2018,193.630005,194.080002,191.919998,193.979996,192.629944,20933600
6/7/2018,194.139999,194.199997,192.339996,193.460007,192.113571,21347200
6/8/2018,191.169998,192,189.770004,191.699997,190.365814,26656800
6/11/2018,191.350006,191.970001,190.210007,191.229996,189.899094,18308500
6/12/2018,191.389999,192.610001,191.149994,192.279999,190.941772,16911100
6/13/2018,192.419998,192.880005,190.440002,190.699997,189.372772,21638400
6/14/2018,191.550003,191.570007,190.220001,190.800003,189.472076,21610100
6/15/2018,190.029999,190.160004,188.259995,188.839996,187.525711,61719200
6/18/2018,187.880005,189.220001,187.199997,188.740005,187.426422,18484900
6/19/2018,185.139999,186.330002,183.449997,185.690002,184.397644,33578500
6/20/2018,186.350006,187.199997,185.729996,186.5,185.202011,20628700
6/21/2018,187.25,188.350006,184.940002,185.460007,184.16925,25711900
6/22/2018,186.119995,186.149994,184.699997,184.919998,183.632996,27200400
6/25/2018,183.399994,184.919998,180.729996,182.169998,180.902145,31663100
6/26/2018,182.990005,186.529999,182.539993,184.429993,183.146408,24569200
6/27/2018,185.229996,187.279999,184.029999,184.160004,182.878296,25285300
6/28/2018,184.100006,186.210007,183.800003,185.5,184.208969,17365200
6/29/2018,186.289993,187.190002,182.910004,185.110001,183.821686,22737700
7/2/2018,183.820007,187.300003,183.419998,187.179993,185.877258,17731300
